idx,scale/mm,translate_x/mm,translate_y/mm,translate_z/mm,rotate/deg
1,70.94402706,160,0,0,15.004421
2,80.28592338,200,0,0,13.901763
3,91.4,240,0,0,12.816
4,102.5140766,280,0,0,11.730237
5,111.8559729,320,0,0,10.627579
6,117.6535075,360,0,0,9.491132
7,118.1345,400,0,0,8.304
8,112.4267637,440,0,0,7.051184
9,103.2580863,480,0,0,5.725263
10,94.25625,520,0,0,4.320711
11,88.02112594,560,0,0,2.832
12,83.04093817,600,0,0,1.257018
13,76.776,640,0,0,-0.392702
14,75.98164946,644,0.01376,0,-0.561209
15,75.15001114,648,0.05344,0,-0.730299
16,67.2692575,680,1.0008,0,-2.102211
17,54.89418706,720,2.31776,0,-3.856561
18,51.46428724,730,2.4,0,-4.300404
19,47.92981325,740,1.89392,0,-4.745882
20,44.30570385,750,0.37552,0,-5.19276
21,40.60689838,760,-2.15504,0,-5.640807
22,33.04495594,780,-10.25312,0,-6.539469
23,31.51440124,784,-12.35856,0,-6.719486
24,29.9800226,788,-14.62592,0,-6.899562
25,28.44277514,792,-17.05536,0,-7.079683
26,25.3635,800,-22.4,0,-7.44
